Episode 202: 1000 time steps, total rewards -100.00
Episode 203: 1000 time steps, total rewards -100.00
Episode 204: 1000 time steps, total rewards -97.00
Episode 205: 1000 time steps, total rewards -97.00
Episode 206: 1000 time steps, total rewards -97.00
Episode 207: 1000 time steps, total rewards -102.00
Episode 208: 1000 time steps, total rewards -100.00
Episode 209: 1000 time steps, total rewards -102.00
Episode 210: 1000 time steps, total rewards -104.00
Episode 211: 1000 time steps, total rewards -106.00
Episode 212: 1000 time steps, total rewards -100.00
Episode 213: 1000 time steps, total rewards -102.00
Episode 214: 1000 time steps, total rewards -100.00
Episode 215: 1000 time steps, total rewards -102.00
Episode 216: 1000 time steps, total rewards -106.00
Episode 217: 1000 time steps, total rewards -100.00
Episode 218: 1000 time steps, total rewards -100.00
Episode 219: 1000 time steps, total rewards -102.00
Episode 220: 1000 time steps, total rewards -102.00
Episode 221: 1000 time steps, total rewards -100.00
Episode 222: 1000 time steps, total rewards -94.00
Episode 223: 1000 time steps, total rewards -97.00
Episode 224: 1000 time steps, total rewards -94.00
Episode 225: 1000 time steps, total rewards -100.00
Episode 226: 1000 time steps, total rewards -102.00
Episode 227: 1000 time steps, total rewards -102.00
Episode 228: 1000 time steps, total rewards -99.00
Episode 229: 1000 time steps, total rewards -102.00
Episode 230: 1000 time steps, total rewards -100.00
Episode 231: 1000 time steps, total rewards -100.00
Episode 232: 1000 time steps, total rewards -104.00
Episode 233: 1000 time steps, total rewards -100.00
Episode 234: 1000 time steps, total rewards -102.00
Episode 235: 1000 time steps, total rewards -99.00
Episode 236: 1000 time steps, total rewards -102.00
Episode 237: 1000 time steps, total rewards -100.00
Episode 238: 1000 time steps, total rewards -99.00
Episode 239: 1000 time steps, total rewards -102.00
Episode 240: 1000 time steps, total rewards -104.00
Episode 241: 1000 time steps, total rewards -102.00
Episode 242: 1000 time steps, total rewards -100.00
Episode 243: 1000 time steps, total rewards -100.00
Episode 244: 1000 time steps, total rewards -102.00
Episode 245: 1000 time steps, total rewards -97.00
Episode 246: 1000 time steps, total rewards -102.00
Episode 247: 1000 time steps, total rewards -102.00
Episode 248: 1000 time steps, total rewards -102.00
Episode 249: 1000 time steps, total rewards -100.00
Episode 250: 1000 time steps, total rewards -100.00
Episode 251: 1000 time steps, total rewards -100.00
Episode 252: 1000 time steps, total rewards -97.00
Episode 253: 1000 time steps, total rewards -97.00
Episode 254: 1000 time steps, total rewards -97.00
Episode 255: 1000 time steps, total rewards -99.00
Episode 256: 1000 time steps, total rewards -100.00
Episode 257: 1000 time steps, total rewards -100.00
Episode 258: 1000 time steps, total rewards -97.00
Episode 259: 1000 time steps, total rewards -99.00
Episode 260: 1000 time steps, total rewards -100.00
Episode 261: 1000 time steps, total rewards -97.00
Episode 262: 1000 time steps, total rewards -102.00
Episode 263: 1000 time steps, total rewards -97.00
Episode 264: 1000 time steps, total rewards -99.00
Episode 265: 1000 time steps, total rewards -97.00
Episode 266: 1000 time steps, total rewards -100.00
Episode 267: 1000 time steps, total rewards -100.00
Episode 268: 1000 time steps, total rewards -100.00
Episode 269: 1000 time steps, total rewards -97.00
Episode 270: 1000 time steps, total rewards -97.00
Episode 271: 1000 time steps, total rewards -99.00
Episode 272: 1000 time steps, total rewards -97.00
Episode 273: 1000 time steps, total rewards -102.00
Episode 274: 1000 time steps, total rewards -97.00
Episode 275: 1000 time steps, total rewards -100.00
Episode 276: 1000 time steps, total rewards -102.00
Episode 277: 1000 time steps, total rewards -100.00
Episode 278: 1000 time steps, total rewards -97.00
Episode 279: 1000 time steps, total rewards -100.00
Episode 280: 1000 time steps, total rewards -100.00
Episode 281: 1000 time steps, total rewards -102.00
Episode 282: 1000 time steps, total rewards -97.00
Episode 283: 1000 time steps, total rewards -102.00
Episode 284: 1000 time steps, total rewards -100.00
Episode 285: 1000 time steps, total rewards -100.00
Episode 286: 1000 time steps, total rewards -94.00
Episode 287: 1000 time steps, total rewards -97.00
Episode 288: 1000 time steps, total rewards -97.00
Episode 289: 1000 time steps, total rewards -97.00
Episode 290: 1000 time steps, total rewards -102.00
Episode 291: 1000 time steps, total rewards -102.00
Episode 292: 1000 time steps, total rewards -100.00
Episode 293: 1000 time steps, total rewards -102.00
Episode 294: 1000 time steps, total rewards -102.00
Episode 295: 1000 time steps, total rewards -100.00
Episode 296: 1000 time steps, total rewards -102.00
Episode 297: 1000 time steps, total rewards -97.00
Episode 298: 1000 time steps, total rewards -97.00
Episode 299: 1000 time steps, total rewards -97.00
Episode 300: 1000 time steps, total rewards -102.00
Episode 301: 1000 time steps, total rewards -100.00
Episode 302: 1000 time steps, total rewards -102.00
Episode 303: 1000 time steps, total rewards -104.00
Episode 304: 1000 time steps, total rewards -100.00
Episode 305: 1000 time steps, total rewards -104.00
Episode 306: 1000 time steps, total rewards -100.00
